,ID,Reaction,Name,Subsystem,Assigned_Subsystem,Assigned_Top_Category,Match_Score,Match_Keywords
114,g6p_Transport,g6p_e --> g6p_c,,Unassigned,Unclassified,Unclassified,0,
115,glx_Transport,glx_e --> glx_c,,Unassigned,Unclassified,Unclassified,0,
116,malt_Transport,malt_e --> malt_c,,Unassigned,Unclassified,Unclassified,0,
117,malttr_Transport,malttr_e --> malttr_c,,Unassigned,Unclassified,Unclassified,0,
118,thymd_Transport,thymd_e --> thymd_c,,Unassigned,Unclassified,Unclassified,0,
119,tre_Transport,tre_e --> tre_c,,Unassigned,Unclassified,Unclassified,0,
120,inost_Transport,inost_e --> inost_c,,Unassigned,Unclassified,Unclassified,0,
121,lcts_Transport,lcts_e --> lcts_c,,Unassigned,Unclassified,Unclassified,0,
125,citac_Transport,citac_e --> citac_c,,Unassigned,Unclassified,Unclassified,0,
127,citm_Transport,citm_e --> citm_c,,Unassigned,Unclassified,Unclassified,0,
129,asp__D_Transport,asp__D_e --> asp__D_c,,Unassigned,Unclassified,Unclassified,0,
130,SSAH,2.0 h_c + nadh_c + sucsal_c <=> h4but_c + nad_c,,Unassigned,Unclassified,Unclassified,0,
133,h4but_Transport,h4but_e --> h4but_c,,Unassigned,Unclassified,Unclassified,0,
136,MLTG6,dextrin_c + 2.0 h2o_c --> 2.0 glc__D_c,Maltodextrin glucosidase  dextrin ,Unassigned,Unclassified,Unclassified,0,
139,TARTRDH2,nad_c + tartr__M_c <=> h_c + nadh_c + oxglyc_c,Tartrate dehydrogenase,Unassigned,Unclassified,Unclassified,0,
140,TARTRDH,nad_c + tartr__L_c <=> h_c + nadh_c + oxglyc_c,Tartrate dehydrogenase,Unassigned,Unclassified,Unclassified,0,
141,TARTDC,h_c + tartr__L_c --> co2_c + glyc__R_c,Tartrate decarboxylase,Unassigned,Unclassified,Unclassified,0,
142,tartr__M_Transport,tartr__M_e --> tartr__M_c,,Unassigned,Unclassified,Unclassified,0,
144,malon_Transport,malon_e --> malon_c,,Unassigned,Unclassified,Unclassified,0,
147,TCBO,q8_c + tcb_c --> acon_C_c + q8h2_c,Tricarballylate oxidase,Unassigned,Unclassified,Unclassified,0,
156,ALLK,all__D_c + atp_c --> adp_c + all6p_c + h_c,Allose kinase,Unassigned,Unclassified,Unclassified,0,
163,DHAPT,dha_c + pep_c --> dhap_c + pyr_c,Dihydroxyacetone phosphotransferase,Unassigned,Unclassified,Unclassified,0,
165,FCLK,atp_c + fcl__L_c --> adp_c + fc1p_c + h_c,L-fuculokinase,Unassigned,Unclassified,Unclassified,0,
167,GALKr,atp_c + gal_c <=> adp_c + gal1p_c + h_c,Galactokinase,Unassigned,Unclassified,Unclassified,0,
175,XYLK2,atp_c + xylu__L_c --> adp_c + h_c + xu5p__L_c,L-xylulokinase,Unassigned,Unclassified,Unclassified,0,
184,TARTD,tartr__L_c --> h2o_c + oaa_c,L(+)-tartrate dehydratase,Unassigned,Unclassified,Unclassified,0,
188,ACDO,dhmtp_c + o2_c --> 2kmb_c + for_c + h_c,Acireductone dioxygenase,Unassigned,Unclassified,Unclassified,0,
191,BLACT,h2o_c + pencil_c --> h_c + pencilca_c,Beta lactamase,Unassigned,Unclassified,Unclassified,0,
193,CDPGLC46DH,cdpglc_c --> cdp4dh6doglc_c + h2o_c,CDP glucose 4 6 dehydratase,Unassigned,Unclassified,Unclassified,0,
196,COKECBESr,coke_r + h2o_r --> bz_r + egme_r + h_r,Carboxylesterase (cocaine) (er),Unassigned,Unclassified,Unclassified,0,
199,DHR,cbasp_m --> dhor__S_m + h2o_m + h_m,Dihydroorotase,Unassigned,Unclassified,Unclassified,0,
205,H4THDPS,aspsa_c + pyr_c --> 4hthdp_c + h2o_c + h_c,4-hydroxy-tetrahydrodipicolinate synthase,Unassigned,Unclassified,Unclassified,0,
206,HIUH,5hiu_m + h2o_m --> 5houdic_m,Hydroxyisourate hydrolase,Unassigned,Unclassified,Unclassified,0,
208,HSD17B2r,andrstndn_r + h_r + nadh_r --> nad_r + tststerone_r,17-beta-hydroxysteroid dehydrogenase,Unassigned,Unclassified,Unclassified,0,
217,PHYT3,h2o_c + inoshp_c --> inospp1_c + pi_c,3 phytase,Unassigned,Unclassified,Unclassified,0,
218,PPBNGS_1,2.0 5aop_h + h_h --> 2.0 h2o_h + ppbng_h,Porphobilinogen synthase,Unassigned,Unclassified,Unclassified,0,
222,RE1711C_2,CE1918_c + nad_c --> 5hoxindact_c + h_c + nadh_c,RE1711,Unassigned,Unclassified,Unclassified,0,
231,BCDO,caro_c + o2_c --> 2.0 retinal_c,Beta-Carotene dioxygenase,Unassigned,Unclassified,Unclassified,0,
234,CRNCDH,crncoa_c --> ctbtcoa_c + h2o_c,Carnityl-CoA dehydratse,Unassigned,Unclassified,Unclassified,0,
238,HAS2,ha_pre1_e + uacgam_c + udpglcur_c --> 2.0 h_c + ha_e + 2.0 udp_c,Hyaluronan synthase,Unassigned,Unclassified,Unclassified,0,
239,DKII,46dh25dohxn_c + h_c + nadh_c --> 2ddglcn_c + nad_c,2 dehydro 3 deoxy D gluconate 5 dehydrogenase,Unassigned,Unclassified,Unclassified,0,
248,RHMND,rhmn_c --> h2o_c + lkdr_c,L-rhamnonate dehydratase,Unassigned,Unclassified,Unclassified,0,
249,UDPGD,h2o_c + 2.0 nad_c + udpg_c --> 3.0 h_c + 2.0 nadh_c + udpglcur_c,UDPglucose 6-dehydrogenase,Unassigned,Unclassified,Unclassified,0,
255,GLUN,gln__L_c + h2o_c --> glu__L_c + nh4_c,Glutaminase,Unassigned,Unclassified,Unclassified,0,
259,DQDH,3dhq_h --> 3dhsk_h + h2o_h,3-deydroquinate dehydratase,Unassigned,Unclassified,Unclassified,0,
262,CELASE1,cell4_c + h2o_c --> 2.0 cellb_c,Celluase,Unassigned,Unclassified,Unclassified,0,
271,CYNL,cynt_c + h_c + hco3_c --> cbm_c + co2_c,Cyanate lyase,Unassigned,Unclassified,Unclassified,0,
285,GLYCK2,atp_c + glyc__R_c --> 2pg_c + adp_c + h_c,Glycerate kinase,Unassigned,Unclassified,Unclassified,0,
294,GLUK,atp_c + glc__D_c --> adp_c + g6p_B_c + h_c,Glucokinase,Unassigned,Unclassified,Unclassified,0,
301,GLYOX3,h2o_c + mthgxl_c --> h_c + lac__D_c,Glyoxalase III,Unassigned,Unclassified,Unclassified,0,
302,4HBZR,4hbzcoa_c + fdxr_42_c + 6.0 h_c --> benzcoa_c + fdxo_42_c + h2o_c,4-hydroxybenzoylCoA reducatse,Unassigned,Unclassified,Unclassified,0,
304,NAD_H2,h_c + nadh_c --> h2_c + nad_c,NAD-linked hydrogenase,Unassigned,Unclassified,Unclassified,0,
306,INS2D,inost_c + nad_c --> 2ins_c + h_c + nadh_c,Inositol 2-dehydrogenase,Unassigned,Unclassified,Unclassified,0,
334,URIC,2.0 h2o_c + o2_c + urate_c --> alltn_c + co2_c + h2o2_c,Uricase,Unassigned,Unclassified,Unclassified,0,
345,CMCMSAD,5cmhmsa_c + h2o_c + nad_c --> 5cmhm_c + 2.0 h_c + nadh_c,4 carboxy 2 hydroxymuconate 6 semialdehyde dehydrogenase,Unassigned,Unclassified,Unclassified,0,
346,OPTCCL,5cohe_c + h_c --> 2hh24dd_c + co2_c,5 carboxy 2 oxohept 3 enedioate decarboxylation,Unassigned,Unclassified,Unclassified,0,
347,2HH24DDH,2hh24dd_c + h2o_c --> 4h2kpi_c,2hh24dd hydratase,Unassigned,Unclassified,Unclassified,0,
348,4H2KPILY,4h2kpi_c --> pyr_c + sucsal_c,4h2kpi Lyase,Unassigned,Unclassified,Unclassified,0,
349,ARABD,Lara14lac_c + h_c + nadh_c --> arab__L_c + nad_c,L-ARABINOSE-1-DEHYDROGENASE-RXN,Unassigned,Unclassified,Unclassified,0,
350,LARABLN,Lara14lac_c + h2o_c --> Larabnt_c,"L-arabino-1,4-lactonase",Unassigned,Unclassified,Unclassified,0,
351,LARABTD,Larabnt_c --> 2d3darabnt_c + h2o_c,L-arabinate dehydratase,Unassigned,Unclassified,Unclassified,0,
356,XYLK,atp_c + xylu__D_c --> adp_c + h_c + xu5p__D_c,Xylulokinase,Unassigned,Unclassified,Unclassified,0,
